,tokens,labels
1330,"['Calling', 'for', 'her', '.', '""']","[0, 0, 0, 0, 0]"
1331,"['Tears', 'filled', 'the', 'girl', ""'s"", 'eyes', '.']","[0, 0, 0, 0, 0, 0, 0]"
1332,"['A', 'wordless', 'anguish', 'seemed', 'to', 'well', 'up', 'from', 'that', 'black', 'stone', 'in', 'her', 'mind', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1333,"['She', 'wiped', 'her', 'cheeks', '.']","[0, 0, 0, 0, 0]"
1334,"['""', 'Where', 'did', 'you', 'come', 'from', '?', '""']","[0, 0, 0, 0, 0, 0, 0, 0]"
1335,"['she', 'asked', 'abruptly', '.']","[0, 0, 0, 0]"
1336,"['""', 'We', 'did', ""n't"", 'see', 'you', 'on', 'the', 'road', '.', '""']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1337,"['The', 'man', 'beside', 'her', 'half', 'turned', 'to', 'the', 'gravel', 'track', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1338,"['""', 'On', 'the', 'other', 'side', ',', '""']","[0, 0, 0, 0, 0, 0, 0]"
1339,"['he', 'said', ',', 'a', 'smile', 'in', 'his', 'tone', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1340,"['""', 'Waiting', ',', 'just', 'like', 'you', '.', '""']","[0, 0, 0, 0, 0, 0, 0, 0]"
1341,"['The', 'other', 'giggled', '.']","[0, 0, 0, 0]"
1342,"['""', 'On', 'the', 'other', 'side', 'indeed', '.', '""']","[0, 0, 0, 0, 0, 0, 0, 0]"
1343,"['He', 'faced', 'down', 'the', 'road', 'again', 'and', 'raised', 'his', 'arms', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1344,"['The', 'girl', 'drew', 'in', 'a', 'sharp', 'breath', 'as', 'darkness', 'descended', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1345,"['A', 'loud', ',', 'tearing', 'sound', 'filled', 'the', 'air', 'for', 'a', 'second', ',', 'then', 'the', 'darkness', 'dissipated', 'and', 'the', 'girl', ""'s"", 'eyes', 'widened', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1346,"['Seven', 'massive', 'Hounds', 'now', 'sat', 'around', 'the', 'man', 'in', 'the', 'road', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1347,"['The', 'eyes', 'of', 'these', 'beasts', 'glowed', 'yellow', ',', 'and', 'all', 'were', 'turned', 'in', 'the', 'same', 'direction', 'as', 'the', 'man', 'himself', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1348,"['She', 'heard', 'him', 'hiss', ',', '""', 'Eager', ',', 'are', 'we', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1349,"['Then', 'go', '!', '""']","[0, 0, 0, 0]"
1350,"['Silently', ',', 'the', 'Hounds', 'bolted', 'down', 'the', 'road', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1351,"['Their', 'master', 'turned', 'and', 'said', 'to', 'the', 'man', 'beside', 'her', ',', '""', 'Something', 'to', 'gnaw', 'on', 'Laseen', ""'s"", 'mind', '.', '""']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
1352,"['He', 'giggled', 'again', '.']","[0, 0, 0, 0]"
1353,"['""', 'Must', 'you', 'complicate', 'things', '?', '""']","[0, 0, 0, 0, 0, 0, 0]"
1354,"['the', 'other', 'answered', 'wearily', '.']","[0, 0, 0, 0, 0]"
1355,"['The', 'short', 'man', 'stiffened', '.']","[0, 0, 0, 0, 0]"
1356,"['""', 'They', 'are', 'within', 'sight', 'of', 'the', 'column', '.', '""']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1357,"['He', 'cocked', 'his', 'head', '.']","[0, 0, 0, 0, 0]"
1358,"['From', 'up', 'the', 'road', 'came', 'the', 'scream', 'of', 'horses', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1359,"['He', 'sighed', '.']","[0, 0, 0]"
1360,"['""', 'You', ""'ve"", 'reached', 'a', 'decision', ',', 'Cotillion', '?', '""']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
1361,"['The', 'other', 'grunted', 'amusedly', '.']","[0, 0, 0, 0, 0]"
1362,"['""', 'Using', 'my', 'name', ',', 'Ammanas', ',', 'means', 'you', ""'ve"", 'just', 'decided', 'for', 'me', '.']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1363,"['We', 'can', 'hardly', 'leave', 'her', 'here', 'now', ',', 'can', 'we', '?', '""']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1364,"['""', 'Of', 'course', 'we', 'can', ',', 'old', 'friend', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1365,"['Just', 'not', 'breathing', '.', '""']","[0, 0, 0, 0, 0]"
1366,"['Cotillion', 'looked', 'down', 'on', 'the', 'girl', '.']","[1, 0, 0, 0, 0, 0, 0]"
1367,"['""', 'No', ',', '""']","[0, 0, 0, 0]"
1368,"['he', 'said', 'quietly', ',', '""', 'she', ""'ll"", 'do', '.', '""']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1369,"['The', 'fishergirl', 'bit', 'her', 'lip', '.']","[0, 0, 0, 0, 0, 0]"
1370,"['Still', 'clutching', 'Rigga', ""'s"", 'candle', ',', 'she', 'took', 'another', 'step', 'back', ',', 'her', 'wide', 'eyes', 'darting', 'from', 'one', 'man', 'to', 'the', 'other', '.']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1371,"['""', 'Pity', ',', '""']","[0, 0, 0, 0]"
1372,"['Ammanas', 'said', '.']","[1, 0, 0]"
1373,"['Cotillion', 'seemed', 'to', 'nod', ',', 'then', 'he', 'cleared', 'his', 'throat', 'and', 'said', ',', '""', 'It', ""'ll"", 'take', 'time', '.', '""']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1374,"['An', 'amused', 'note', 'entered', 'Ammanas', ""'s"", 'reply', '.']","[0, 0, 0, 0, 1, 0, 0, 0]"
1375,"['""', 'And', 'have', 'we', 'time', '?']","[0, 0, 0, 0, 0, 0]"
1376,"['True', 'vengeance', 'needs', 'the', 'slow', ',', 'careful', 'stalking', 'of', 'the', 'victim', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1377,"['Have', 'you', 'forgotten', 'the', 'pain', 'she', 'once', 'delivered', 'us', '?']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1378,"['Laseen', ""'s"", 'back', 'is', 'against', 'the', 'wall', 'already', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0]"
1379,"['She', 'might', 'fall', 'without', 'our', 'help', '.']","[0, 0, 0, 0, 0, 0, 0]"
1380,"['Where', 'would', 'be', 'the', 'satisfaction', 'in', 'that', '?', '""']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1381,"['Cotillion', ""'s"", 'response', 'was', 'cool', 'and', 'dry', '.']","[1, 0, 0, 0, 0, 0, 0, 0]"
1382,"['""', 'You', ""'ve"", 'always', 'underestimated', 'the', 'Empress', '.']","[0, 0, 0, 0, 0, 0, 1, 0]"
1383,"['Hence', 'our', 'present', 'circumstances', '...', 'No', '.', '""']","[0, 0, 0, 0, 0, 0, 0, 0]"
1384,"['He', 'gestured', 'at', 'the', 'fishergirl', '.']","[0, 0, 0, 0, 0, 0]"
1385,"['""', 'We', ""'ll"", 'need', 'this', 'one', '.']","[0, 0, 0, 0, 0, 0, 0]"
1386,"['Laseen', ""'s"", 'raised', 'the', 'ire', 'of', 'Moon', ""'s"", 'Spawn', ',', 'and', 'that', ""'s"", 'a', 'hornet', ""'s"", 'nest', 'if', 'ever', 'there', 'was', 'one', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1387,"['The', 'timing', 'is', 'perfect', '.', '""']","[0, 0, 0, 0, 0, 0]"
1388,"['Faintly', ',', 'above', 'the', 'screaming', 'horses', ',', 'came', 'the', 'shrieks', 'of', 'men', 'and', 'women', ',', 'a', 'sound', 'that', 'pierced', 'the', 'girl', ""'s"", 'heart', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1389,"['Her', 'eyes', 'darted', 'to', 'Rigga', ""'s"", 'motionless', 'form', 'on', 'the', 'roadside', ',', 'then', 'back', 'to', 'Ammanas', ',', 'who', 'now', 'approached', 'her', '.']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
1390,"['She', 'thought', 'to', 'run', 'but', 'her', 'legs', 'had', 'weakened', 'to', 'a', 'helpless', 'trembling', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1391,"['He', 'came', 'close', 'and', 'seemed', 'to', 'study', 'her', ',', 'even', 'though', 'the', 'shadows', 'within', 'his', 'hood', 'remained', 'impenetrable', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1392,"['""', 'A', 'fishergirl', '?', '""']","[0, 0, 0, 0, 0]"
1393,"['he', 'asked', ',', 'in', 'a', 'kindly', 'tone', '.']","[0, 0, 0, 0, 0, 0, 0, 0]"
1394,"['She', 'nodded', '.']","[0, 0, 0]"
1395,"['""', 'Have', 'you', 'a', 'name', '?', '""']","[0, 0, 0, 0, 0, 0, 0]"
1396,"['""', 'Enough', '!', '""']","[0, 0, 0, 0]"
1397,"['Cotillion', 'growled', '.']","[1, 0, 0]"
1398,"['""', 'She', ""'s"", 'not', 'some', 'mouse', 'under', 'your', 'paw', ',', 'Ammanas', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
1399,"['Besides', ',', 'I', ""'ve"", 'chosen', 'her', 'and', 'I', 'will', 'choose', 'her', 'name', 'as', 'well', '.', '""']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1400,"['Ammanas', 'stepped', 'back', '.']","[1, 0, 0, 0]"
1401,"['""', 'Pity', ',', '""']","[0, 0, 0, 0]"
1402,"['he', 'said', 'again', '.']","[0, 0, 0, 0]"
1403,"['The', 'girl', 'raised', 'imploring', 'hands', '.']","[0, 0, 0, 0, 0, 0]"
1404,"['""', 'Please', ',', '""']","[0, 0, 0, 0]"
1405,"['she', 'begged', 'Cotillion', ',', '""', 'I', ""'ve"", 'done', 'nothing', '!']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
1406,"['My', 'father', ""'s"", 'a', 'poor', 'man', ',', 'but', 'he', ""'ll"", 'pay', 'you', 'all', 'he', 'can', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1407,"['He', 'needs', 'me', ',', 'and', 'the', 'twine', '--', 'he', ""'s"", 'waiting', 'right', 'now', '!', '""']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1408,"['She', 'felt', 'herself', 'go', 'wet', 'between', 'her', 'legs', 'and', 'quickly', 'sat', 'down', 'on', 'the', 'ground', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1409,"['""', 'I', ""'ve"", 'done', 'nothing', '!', '""']","[0, 0, 0, 0, 0, 0, 0]"
1410,"['Shame', 'rose', 'through', 'her', 'and', 'she', 'put', 'her', 'hands', 'in', 'her', 'lap', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1411,"['""', 'Please', '.', '""']","[0, 0, 0, 0]"
1412,"['""', 'I', ""'ve"", 'no', 'choice', 'any', 'more', ',', 'child', ',', '""']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1413,"['Cotillion', 'said', '.']","[1, 0, 0]"
1414,"['""', 'After', 'all', ',', 'you', 'know', 'our', 'names', '.', '""']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1415,"['""', 'I', ""'ve"", 'never', 'heard', 'them', 'before', '!', '""']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1416,"['the', 'girl', 'cried', '.']","[0, 0, 0, 0]"
1417,"['The', 'man', 'sighed', '.']","[0, 0, 0, 0]"
1418,"['""', 'With', 'what', ""'s"", 'happening', 'up', 'the', 'road', 'right', 'now', ',', 'well', ',', 'you', ""'d"", 'be', 'questioned', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1419,"['Unpleasantly', '.']","[0, 0]"
1420,"['There', 'are', 'those', 'who', 'know', 'our', 'names', '.', '""']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1421,"['""', 'You', 'see', ',', 'lass', ',', '""']","[0, 0, 0, 0, 0, 0, 0]"
1422,"['Ammanas', 'added', ',', 'suppressing', 'a', 'giggle', ',', '""', 'we', ""'re"", 'not', 'supposed', 'to', 'be', 'here', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1423,"['There', 'are', 'names', ',', 'and', 'then', 'there', 'are', 'names', '.', '""']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1424,"['He', 'swung', 'to', 'Cotillion', 'and', 'said', ',', 'in', 'a', 'chilling', 'voice', ',', '""', 'Her', 'father', 'must', 'be', 'dealt', 'with', '.']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1425,"['My', 'Hounds', '?', '""']","[0, 0, 0, 0]"
1426,"['""', 'No', ',', '""']","[0, 0, 0, 0]"
1427,"['Cotillion', 'said', '.']","[1, 0, 0]"
1428,"['""', 'He', 'lives', '.', '""']","[0, 0, 0, 0, 0]"
1429,"['""', 'Then', 'how', '?', '""']","[0, 0, 0, 0, 0]"
1430,"['""', 'I', 'suspect', ',', '""']","[0, 0, 0, 0, 0]"
1431,"['Cotillion', 'said', ',', '""', 'greed', 'will', 'suffice', ',', 'once', 'the', 'slate', 'is', 'wiped', 'clean', '.', '""']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1432,"['Sarcasm', 'filled', 'his', 'next', 'words', '.']","[0, 0, 0, 0, 0, 0]"
1433,"['""', 'I', ""'m"", 'sure', 'you', 'can', 'manage', 'the', 'sorcery', 'in', 'that', ',', 'ca', ""n't"", 'you', '?', '""']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1434,"['Ammanas', 'giggled', '.']","[1, 0, 0]"
1435,"['""', 'Beware', 'of', 'shadows', 'bearing', 'gifts', '.', '""']","[0, 0, 0, 0, 0, 0, 0, 0]"
1436,"['Cotillion', 'faced', 'the', 'girl', 'again', '.']","[1, 0, 0, 0, 0, 0]"
1437,"['He', 'lifted', 'his', 'arms', 'out', 'to', 'the', 'sides', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1438,"['The', 'shadows', 'that', 'held', 'his', 'features', 'in', 'darkness', 'now', 'flowed', 'out', 'around', 'his', 'body', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1439,"['Ammanas', 'spoke', ',', 'and', 'to', 'the', 'girl', 'his', 'words', 'seemed', 'to', 'come', 'from', 'a', 'great', 'distance', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1440,"['""', 'She', ""'s"", 'ideal', '.']","[0, 0, 0, 0, 0]"
1441,"['The', 'Empress', 'could', 'never', 'track', 'her', 'down', ',', 'could', 'never', 'even', 'so', 'much', 'as', 'guess', '.', '""']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1442,"['He', 'raised', 'his', 'voice', '.']","[0, 0, 0, 0, 0]"
1443,"['""', 'It', ""'s"", 'not', 'so', 'bad', 'a', 'thing', ',', 'lass', ',', 'to', 'be', 'the', 'pawn', 'of', 'a', 'god', '.', '""']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1444,"['""', 'Prod', 'and', 'pull', ',', '""']","[0, 0, 0, 0, 0, 0]"
1445,"['the', 'fishergirl', 'said', 'quickly', '.']","[0, 0, 0, 0, 0]"
1446,"['Cotillion', 'hesitated', 'at', 'her', 'strange', 'comment', ',', 'then', 'he', 'shrugged', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1447,"['The', 'shadows', 'whirled', 'out', 'to', 'engulf', 'the', 'girl', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1448,"['With', 'their', 'cold', 'touch', 'her', 'mind', 'fell', 'away', ',', 'down', 'into', 'darkness', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1449,"['Her', 'last', 'fleeting', 'sensation', 'was', 'of', 'the', 'soft', 'wax', 'of', 'the', 'candle', 'in', 'her', 'right', 'hand', ',', 'and', 'how', 'it', 'seemed', 'to', 'well', 'up', 'between', 'the', 'fingers', 'of', 'her', 'clenched', 'fist', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1450,"['The', 'captain', 'shifted', 'in', 'his', 'saddle', 'and', 'glanced', 'at', 'the', 'woman', 'riding', 'beside', 'him', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1451,"['""', 'We', ""'ve"", 'closed', 'the', 'road', 'on', 'both', 'sides', ',', 'Adjunct', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
1452,"['Moved', 'the', 'local', 'traffic', 'inland', '.']","[0, 0, 0, 0, 0, 0]"
1453,"['So', 'far', ',', 'no', 'word', ""'s"", 'leaked', '.', '""']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1454,"['He', 'wiped', 'sweat', 'from', 'his', 'brow', 'and', 'winced', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1455,"['The', 'hot', 'woollen', 'cap', 'beneath', 'his', 'helm', 'had', 'rubbed', 'his', 'forehead', 'raw', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1456,"['""', 'Something', 'wrong', ',', 'Captain', '?', '""']","[0, 0, 0, 0, 0, 0, 0]"
1457,"['He', 'shook', 'his', 'head', ',', 'squinting', 'up', 'the', 'road', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1458,"['""', 'Helmet', ""'s"", 'loose', '.']","[0, 0, 0, 0, 0]"
1459,"['Had', 'more', 'hair', 'the', 'last', 'time', 'I', 'wore', 'it', '.', '""']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1460,"['The', 'Adjunct', 'to', 'the', 'Empress', 'did', 'not', 'reply', '.']","[0, 1, 0, 0, 1, 0, 0, 0, 0]"
1461,"['The', 'mid-morning', 'sun', 'made', 'the', 'road', ""'s"", 'white', ',', 'dusty', 'surface', 'almost', 'blinding', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1462,"['The', 'captain', 'felt', 'sweat', 'running', 'down', 'his', 'body', ',', 'and', 'the', 'mail', 'of', 'his', 'helm', ""'s"", 'lobster', 'tail', 'kept', 'nipping', 'the', 'hairs', 'on', 'his', 'neck', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1463,"['Already', 'his', 'lower', 'back', 'ached', '.']","[0, 0, 0, 0, 0, 0]"
1464,"['It', 'had', 'been', 'years', 'since', 'he', ""'d"", 'last', 'ridden', 'a', 'horse', ',', 'and', 'the', 'roll', 'was', 'slow', 'in', 'coming', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1465,"['With', 'every', 'saddle-bounce', 'he', 'felt', 'vertebrae', 'crunch', '.']","[0, 0, 0, 0, 0, 0, 0, 0]"
1466,"['It', 'had', 'been', 'a', 'long', 'time', 'since', 'somebody', ""'s"", 'title', 'had', 'been', 'enough', 'to', 'straighten', 'him', 'up', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1467,"['But', 'this', 'was', 'the', 'Adjunct', 'to', 'the', 'Empress', ',', 'Laseen', ""'s"", 'personal', 'servant', ',', 'an', 'extension', 'of', 'her', 'Imperial', 'will', '.']","[0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1468,"['The', 'last', 'thing', 'the', 'captain', 'wanted', 'was', 'to', 'show', 'his', 'misery', 'to', 'this', 'young', ',', 'dangerous', 'woman', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1469,"['Up', 'ahead', 'the', 'road', 'began', 'its', 'long', ',', 'winding', 'ascent', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1470,"['A', 'salty', 'wind', 'blew', 'from', 'their', 'left', ',', 'whistling', 'through', 'the', 'newly', 'budding', 'trees', 'lining', 'that', 'side', 'of', 'the', 'road', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1471,"['By', 'mid-afternoon', ',', 'that', 'wind', 'would', 'breathe', 'hot', 'as', 'a', 'baker', ""'s"", 'oven', ',', 'carrying', 'with', 'it', 'the', 'stench', 'of', 'the', 'mudflats', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1472,"['And', 'the', 'sun', ""'s"", 'heat', 'would', 'bring', 'something', 'else', 'as', 'well', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1473,"['The', 'captain', 'hoped', 'to', 'be', 'back', 'in', 'Kan', 'by', 'then', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1474,"['He', 'tried', 'not', 'to', 'think', 'about', 'the', 'place', 'they', 'rode', 'towards', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1475,"['Leave', 'that', 'to', 'the', 'Adjunct', '.']","[0, 0, 0, 0, 1, 0]"
1476,"['In', 'his', 'years', 'of', 'service', 'to', 'the', 'Empire', ',', 'he', ""'d"", 'seen', 'enough', 'to', 'know', 'when', 'to', 'shut', 'everything', 'down', 'inside', 'his', 'skull', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1477,"['He', 'did', ""n't"", 'sound', 'right', '.']","[0, 0, 0, 0, 0, 0]"
1478,"['His', 'footsteps', 'fell', 'more', 'heavily', ',', 'jauntily', ',', 'and', 'he', 'whistled', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1479,"['A', 'new', 'guy', '.']","[0, 0, 0, 0]"
1480,"['He', 'whistled', 'his', 'way', 'to', 'my', 'office', 'door', ',', 'then', 'fell', 'silent', 'for', 'a', 'moment', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1481,"['Then', 'he', 'laughed', '.']","[0, 0, 0, 0]"
1482,"['Then', 'he', 'knocked', '.']","[0, 0, 0, 0]"
1483,"['I', 'winced', '.']","[0, 0, 0]"
1484,"['My', 'mail', 'comes', 'through', 'the', 'mail', 'slot', 'unless', 'it', ""'s"", 'registered', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1485,"['I', 'get', 'a', 'really', 'limited', 'selection', 'of', 'registered', 'mail', ',', 'and', 'it', ""'s"", 'never', 'good', 'news', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1486,"['I', 'got', 'up', 'out', 'of', 'my', 'office', 'chair', 'and', 'opened', 'the', 'door', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1487,"['The', 'new', 'mailman', ',', 'who', 'looked', 'like', 'a', 'basketball', 'with', 'arms', 'and', 'legs', 'and', 'a', 'sunburned', ',', 'balding', 'head', ',', 'was', 'chuckling', 'at', 'the', 'sign', 'on', 'the', 'door', 'glass', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1488,"['He', 'glanced', 'at', 'me', 'and', 'hooked', 'a', 'thumb', 'toward', 'the', 'sign', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1489,"['""', 'You', ""'re"", 'kidding', ',', 'right', '?', '""']","[0, 0, 0, 0, 0, 0, 0, 0]"
1490,"['I', 'read', 'the', 'sign', '(', 'people', 'change', 'it', 'occasionally', ')', ',', 'and', 'shook', 'my', 'head', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1491,"['""', 'No', ',', 'I', ""'m"", 'serious', '.']","[0, 0, 0, 0, 0, 0, 0]"
1492,"['Can', 'I', 'have', 'my', 'mail', ',', 'please', '.', '""']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
1493,"['""', 'So', ',', 'uh', '.']","[0, 0, 0, 0, 0]"
1494,"['Like', 'parties', ',', 'shows', ',', 'stuff', 'like', 'that', '?', '""']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1495,"['He', 'looked', 'past', 'me', ',', 'as', 'though', 'he', 'expected', 'to', 'see', 'a', 'white', 'tiger', ',', 'or', 'possibly', 'some', 'skimpily', 'clad', 'assistants', 'prancing', 'around', 'my', 'one-room', 'office', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1496,"['I', 'sighed', ',', 'not', 'in', 'the', 'mood', 'to', 'get', 'mocked', 'again', ',', 'and', 'reached', 'for', 'the', 'mail', 'he', 'held', 'in', 'his', 'hand', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1497,"['""', 'No', ',', 'not', 'like', 'that', '.']","[0, 0, 0, 0, 0, 0, 0]"
1498,"['I', 'do', ""n't"", 'do', 'parties', '.', '""']","[0, 0, 0, 0, 0, 0, 0]"
